timestamp,data
8.5,q:0.455:-0.550:-0.441:0.543,a:1.762:9.461:-0.305,la:0.004:0.000:0.031,g:-0.002:0.004:0.000,m:-34.375:-126.375:-93.625,grav:1.758:9.461:-0.313,steps:0,stab:Unknown
9.1,q:0.460:-0.550:-0.442:0.539,a:1.723:9.461:-0.305,la:-0.035:0.000:0.008,g:0.002:0.002:0.002,m:-34.750:-125.625:-95.563,grav:1.758:9.461:-0.313,steps:0,stab:Unknown
9.6,q:0.461:-0.550:-0.442:0.538,a:1.762:9.461:-0.305,la:0.020:0.000:0.016,g:0.000:0.000:-0.002,m:-34.375:-125.250:-96.438,grav:1.750:9.461:-0.313,steps:0,stab:On Table
10.1,q:0.461:-0.550:-0.442:0.538,a:1.762:9.461:-0.305,la:0.004:0.000:0.008,g:0.000:0.000:0.000,m:-34.375:-126.750:-92.938,grav:1.758:9.461:-0.313,steps:0,stab:On Table
10.7,q:0.462:-0.550:-0.442:0.537,a:1.762:9.465:-0.344,la:-0.035:0.000:0.008,g:0.000:0.000:0.000,m:-35.500:-126.375:-96.063,grav:1.750:9.461:-0.313,steps:0,stab:On Table
11.2,q:0.462:-0.550:-0.442:0.537,a:1.762:9.465:-0.344,la:0.012:0.000:0.016,g:0.000:0.000:0.000,m:-34.375:-126.000:-94.125,grav:1.750:9.461:-0.313,steps:0,stab:On Table
11.8,q:0.462:-0.550:-0.442:0.537,a:1.723:9.461:-0.305,la:-0.027:0.000:0.008,g:0.000:0.000:0.000,m:-35.875:-127.125:-96.063,grav:1.750:9.461:-0.313,steps:0,stab:On Table
12.3,q:0.462:-0.550:-0.442:0.537,a:1.762:9.461:-0.305,la:0.004:0.000:0.008,g:0.000:0.000:0.000,m:-33.625:-129.000:-94.188,grav:1.742:9.461:-0.313,steps:0,stab:On Table
12.9,q:0.462:-0.550:-0.442:0.537,a:1.762:9.461:-0.305,la:0.004:0.008:0.008,g:0.000:0.000:0.000,m:-34.375:-126.438:-94.563,grav:1.766:9.461:-0.313,steps:0,stab:On Table
13.4,q:0.462:-0.550:-0.442:0.537,a:1.723:9.461:-0.305,la:-0.035:0.000:0.008,g:0.000:0.000:0.000,m:-33.625:-126.750:-94.188,grav:1.758:9.461:-0.313,steps:0,stab:On Table
14.0,q:0.462:-0.550:-0.442:0.537,a:1.762:9.461:-0.305,la:0.012:0.000:-0.023,g:0.000:0.000:0.000,m:-34.750:-126.063:-94.188,grav:1.750:9.461:-0.320,steps:0,stab:On Table
14.5,q:0.462:-0.550:-0.442:0.537,a:1.762:9.461:-0.305,la:0.012:0.000:0.016,g:0.000:0.000:0.000,m:-34.375:-126.063:-93.438,grav:1.750:9.461:-0.320,steps:0,stab:On Table
15.1,q:0.462:-0.550:-0.442:0.537,a:1.762:9.461:-0.305,la:-0.035:0.000:0.008,g:0.000:0.000:0.000,m:-33.625:-127.938:-93.813,grav:1.758:9.461:-0.313,steps:0,stab:On Table
15.6,q:0.462:-0.550:-0.442:0.537,a:1.762:9.461:-0.305,la:-0.035:0.000:0.008,g:0.000:0.000:0.000,m:-34.750:-127.875:-96.125,grav:1.758:9.461:-0.313,steps:0,stab:On Table
16.2,q:0.462:-0.550:-0.442:0.537,a:1.762:9.461:-0.305,la:0.004:0.000:0.008,g:0.000:0.000:0.000,m:-34.000:-126.438:-95.375,grav:1.758:9.461:-0.313,steps:0,stab:On Table
16.7,q:0.462:-0.550:-0.442:0.537,a:1.723:9.461:-0.305,la:-0.035:0.000:0.008,g:0.000:0.000:0.000,m:-34.375:-124.938:-93.438,grav:1.750:9.461:-0.305,steps:0,stab:On Table
17.2,q:0.462:-0.550:-0.442:0.537,a:1.762:9.461:-0.305,la:0.004:0.000:0.008,g:-0.008:-0.021:0.207,m:-34.750:-127.188:-95.375,grav:1.758:9.461:-0.313,steps:0,stab:On Table
17.7,q:0.443:-0.565:-0.424:0.551,a:2.527:9.383:-0.344,la:0.117:0.074:0.031,g:-0.008:-0.039:0.225,m:-37.750:-124.563:-94.625,grav:2.320:9.375:-0.313,steps:0,stab:On Table
18.3,q:0.420:-0.583:-0.403:0.566,a:3.102:9.305:-0.305,la:0.063:0.012:0.023,g:-0.004:0.016:0.111,m:-40.375:-121.938:-93.875,grav:3.891:9.008:-0.313,steps:0,stab:On Table
18.8,q:0.392:-0.602:-0.379:0.583,a:4.098:9.004:-0.305,la:0.121:0.035:0.035,g:-0.010:-0.020:0.205,m:-44.125:-118.938:-93.500,grav:3.984:8.969:-0.313,steps:0,stab:On Table
19.7,q:0.372:-0.614:-0.358:0.596,a:5.824:8.313:-0.305,la:0.043:0.020:0.027,g:0.000:0.004:0.131,m:-41.875:-115.938:-93.500,grav:5.797:8.266:-0.297,steps:0,stab:On Table
20.2,q:0.326:-0.639:-0.318:0.619,a:5.938:8.313:-0.270,la:0.109:-0.020:0.027,g:0.002:0.008:0.148,m:-46.750:-110.688:-90.750,grav:5.875:8.227:-0.289,steps:0,stab:On Table
20.8,q:0.292:-0.656:-0.288:0.634,a:6.895:7.590:-0.305,la:0.191:-0.039:-0.008,g:-0.008:-0.002:0.156,m:-47.875:-105.438:-91.563,grav:7.172:7.375:-0.273,steps:0,stab:On Table
21.3,q:0.241:-0.676:-0.242:0.653,a:7.316:7.316:-0.270,la:0.035:0.035:0.012,g:0.008:0.002:0.141,m:-49.000:-101.750:-90.000,grav:7.242:7.305:-0.281,steps:0,stab:On Table
21.8,q:0.239:-0.676:-0.240:0.654,a:8.043:6.590:-0.270,la:0.051:-0.020:0.012,g:0.002:0.004:0.127,m:-50.500:-93.125:-85.000,grav:8.406:6.219:-0.273,steps:0,stab:On Table
22.4,q:0.186:-0.693:-0.192:0.670,a:8.504:6.090:-0.270,la:0.035:-0.051:0.004,g:0.012:0.008:0.135,m:-51.625:-94.250:-89.625,grav:8.477:6.133:-0.273,steps:0,stab:On Table
22.9,q:0.184:-0.693:-0.189:0.671,a:9.121:5.402:-0.270,la:0.016:0.035:0.020,g:0.012:0.008:0.123,m:-50.125:-88.250:-85.813,grav:8.984:5.570:-0.266,steps:0,stab:On Table
23.4,q:0.156:-0.700:-0.164:0.677,a:9.609:4.672:-0.305,la:0.113:-0.063:-0.023,g:-0.012:-0.010:0.184,m:-51.250:-88.250:-86.563,grav:9.836:4.219:-0.289,steps:0,stab:On Table
23.9,q:0.134:-0.704:-0.142:0.682,a:9.922:4.098:-0.305,la:0.125:-0.027:0.035,g:0.010:-0.002:0.141,m:-51.625:-83.000:-85.750,grav:9.875:4.125:-0.289,steps:0,stab:On Table
