timestamp,data
733.42,q:0.651:0.048:0.041:0.757,gq:0.651:0.048:0.041:0.757,a:-0.133:9.574:1.176,la:0.000:0.000:-0.004,g:0.000:0.002:0.002,m:-28.438:-153.938:-142.250,grav:0.000:0.000:0.000,steps:0,stab:Unknown
734.06,q:0.655:0.048:0.041:0.753,gq:0.655:0.048:0.041:0.753,a:-0.172:9.570:1.176,la:-0.008:0.000:-0.004,g:0.000:0.002:-0.002,m:-28.125:-153.625:-143.000,grav:-0.164:9.570:1.180,steps:0,stab:Unknown
734.70,q:0.658:0.048:0.041:0.750,gq:0.658:0.048:0.041:0.750,a:-0.172:9.570:1.176,la:-0.008:0.000:-0.004,g:-0.004:0.002:0.000,m:-26.250:-153.000:-140.250,grav:-0.164:9.570:1.180,steps:0,stab:Unknown
735.34,q:0.660:0.048:0.042:0.749,gq:0.659:0.048:0.042:0.749,a:-0.133:9.574:1.176,la:-0.008:0.000:-0.004,g:0.002:-0.002:0.000,m:-27.750:-152.938:-143.875,grav:-0.164:9.570:1.180,steps:0,stab:Unknown
735.96,q:0.660:0.048:0.042:0.748,gq:0.660:0.048:0.042:0.748,a:-0.172:9.570:1.176,la:0.031:0.000:-0.004,g:0.000:-0.002:0.000,m:-27.750:-152.938:-143.875,grav:-0.164:9.570:1.180,steps:0,stab:Stable
736.61,q:0.660:0.048:0.042:0.748,gq:0.660:0.048:0.042:0.748,a:-0.172:9.570:1.176,la:-0.016:0.000:-0.004,g:0.002:-0.004:0.000,m:-27.375:-153.625:-143.125,grav:-0.164:9.570:1.180,steps:0,stab:On Table
737.36,q:0.661:0.048:0.042:0.748,gq:0.661:0.048:0.042:0.748,a:-0.172:9.570:1.176,la:-0.016:0.000:-0.004,g:0.000:0.000:0.000,m:-27.688:-153.500:-141.125,grav:-0.164:9.570:1.180,steps:0,stab:On Table
737.99,q:0.661:0.048:0.042:0.748,gq:0.661:0.048:0.042:0.748,a:-0.172:9.570:1.176,la:-0.016:0.000:-0.004,g:0.000:0.000:-0.002,m:-27.688:-153.188:-141.938,grav:-0.164:9.570:1.180,steps:0,stab:On Table
738.67,q:0.661:0.048:0.042:0.748,gq:0.661:0.048:0.042:0.748,a:-0.172:9.570:1.176,la:-0.008:0.000:0.035,g:0.000:0.000:0.000,m:-28.125:-153.313:-144.313,grav:-0.164:9.570:1.180,steps:0,stab:On Table
739.31,q:0.661:0.048:0.042:0.748,gq:0.661:0.048:0.042:0.748,a:-0.172:9.570:1.176,la:0.031:0.000:-0.004,g:0.000:0.000:0.000,m:-27.750:-153.625:-143.125,grav:-0.156:9.570:1.180,steps:0,stab:On Table
739.96,q:0.661:0.048:0.042:0.748,gq:0.661:0.048:0.042:0.748,a:-0.172:9.570:1.176,la:0.023:0.000:-0.004,g:0.000:0.000:0.000,m:-28.438:-153.500:-140.375,grav:-0.156:9.570:1.180,steps:0,stab:On Table
740.71,q:0.661:0.048:0.042:0.748,gq:0.661:0.048:0.042:0.748,a:-0.133:9.574:1.176,la:0.023:0.000:-0.004,g:0.000:0.000:0.000,m:-28.063:-152.500:-143.500,grav:-0.156:9.570:1.180,steps:0,stab:On Table
741.35,q:0.661:0.048:0.042:0.748,gq:0.661:0.048:0.042:0.748,a:-0.172:9.574:1.215,la:-0.016:0.000:-0.004,g:0.000:0.000:0.000,m:-28.500:-153.688:-143.563,grav:-0.156:9.570:1.180,steps:0,stab:On Table
741.99,q:0.661:0.048:0.042:0.748,gq:0.661:0.048:0.042:0.748,a:-0.172:9.570:1.176,la:-0.016:0.000:-0.004,g:0.000:0.000:0.000,m:-28.438:-153.625:-142.375,grav:-0.156:9.570:1.180,steps:0,stab:On Table
742.62,q:0.661:0.048:0.042:0.748,gq:0.661:0.048:0.042:0.748,a:-0.133:9.574:1.176,la:-0.016:0.000:-0.004,g:0.004:0.002:-0.004,m:-28.063:-151.813:-143.875,grav:-0.156:9.570:1.180,steps:0,stab:On Table
743.26,q:0.661:0.048:0.042:0.748,gq:0.661:0.048:0.042:0.748,a:-0.172:9.570:1.176,la:-0.008:0.000:-0.004,g:0.000:0.002:0.002,m:-28.438:-152.938:-143.938,grav:-0.156:9.570:1.180,steps:0,stab:On Table
744.00,q:0.661:0.048:0.042:0.748,gq:0.661:0.048:0.042:0.748,a:-0.172:9.570:1.176,la:-0.008:0.000:-0.004,g:0.000:0.000:0.000,m:-27.063:-153.313:-144.750,grav:-0.164:9.570:1.180,steps:0,stab:On Table
744.63,q:0.661:0.048:0.042:0.748,gq:0.661:0.048:0.042:0.748,a:-0.172:9.570:1.176,la:-0.008:0.000:-0.004,g:0.000:0.000:0.000,m:-27.000:-153.438:-140.813,grav:-0.234:9.523:1.188,steps:0,stab:On Table
745.27,q:0.659:0.056:0.034:0.749,gq:0.654:0.085:0.007:0.752,a:-0.633:9.879:1.293,la:0.707:-0.051:-0.156,g:-0.012:0.016:-0.141,m:-27.750:-153.750:-144.813,grav:-1.141:9.445:1.258,steps:0,stab:On Table
745.91,q:0.647:0.113:-0.020:0.753,gq:0.647:0.114:-0.021:0.753,a:-1.129:9.570:1.254,la:-0.184:-0.027:-0.012,g:-0.012:0.014:-0.152,m:-23.500:-155.125:-145.563,grav:-1.875:9.359:1.305,steps:0,stab:On Table
746.55,q:0.639:0.146:-0.051:0.754,gq:0.647:0.116:-0.023:0.754,a:-2.969:9.035:1.367,la:-0.070:0.000:0.047,g:-0.010:0.004:-0.135,m:-17.188:-159.875:-145.750,grav:-1.945:9.344:1.313,steps:0,stab:On Table
747.30,q:0.638:0.148:-0.054:0.754,gq:0.638:0.149:-0.054:0.754,a:-2.930:9.035:1.332,la:-0.066:-0.027:0.031,g:-0.018:0.020:-0.164,m:-14.750:-160.563:-145.750,grav:-2.961:9.063:1.367,steps:0,stab:On Table
747.94,q:0.625:0.190:-0.094:0.751,gq:0.625:0.190:-0.094:0.751,a:-4.656:8.309:1.445,la:-0.180:-0.090:0.000,g:-0.010:0.018:-0.158,m:-9.688:-159.000:-147.563,grav:-4.445:8.414:1.445,steps:0,stab:On Table
748.57,q:0.614:0.220:-0.122:0.748,gq:0.615:0.218:-0.121:0.749,a:-4.730:8.230:1.445,la:-0.168:-0.121:0.000,g:-0.008:0.016:-0.143,m:-10.063:-159.438:-148.813,grav:-5.414:7.813:1.453,steps:0,stab:On Table
749.21,q:0.587:0.282:-0.184:0.736,gq:0.586:0.283:-0.184:0.736,a:-6.109:7.273:1.445,la:0.004:0.020:0.023,g:-0.012:0.008:-0.143,m:-6.813:-160.000:-147.188,grav:-5.477:7.766:1.461,steps:0,stab:On Table
749.85,q:0.570:0.314:-0.215:0.728,gq:0.570:0.315:-0.216:0.728,a:-6.801:6.660:1.484,la:0.051:-0.012:-0.023,g:-0.012:0.014:-0.152,m:0.063:-157.500:-147.250,grav:-6.188:7.211:1.461,steps:0,stab:On Table
750.60,q:0.551:0.347:-0.248:0.717,gq:0.570:0.314:-0.215:0.728,a:-7.445:5.895:1.484,la:0.020:0.027:0.031,g:-0.010:0.016:-0.133,m:5.125:-157.375:-148.000,grav:-6.680:6.766:1.469,steps:0,stab:On Table
751.24,q:0.550:0.350:-0.250:0.716,gq:0.550:0.350:-0.251:0.716,a:-8.023:5.090:1.445,la:-0.004:-0.043:0.000,g:-0.012:0.016:-0.146,m:8.500:-153.063:-147.188,grav:-7.539:5.781:1.461,steps:0,stab:On Table
751.87,q:0.530:0.381:-0.282:0.704,gq:0.531:0.379:-0.280:0.704,a:-8.484:4.359:1.406,la:0.043:-0.020:0.008,g:-0.014:0.016:-0.129,m:8.125:-153.875:-147.313,grav:-8.430:4.398:1.398,steps:0,stab:On Table
752.56,q:0.490:0.435:-0.336:0.676,gq:0.490:0.435:-0.337:0.676,a:-8.488:4.246:1.406,la:-0.016:-0.020:0.008,g:-0.002:0.014:-0.123,m:12.813:-153.000:-148.313,grav:-8.867:3.461:1.359,steps:0,stab:On Table
753.20,q:0.470:0.460:-0.362:0.661,gq:0.488:0.437:-0.339:0.675,a:-9.215:2.563:1.293,la:-0.004:-0.035:-0.012,g:-0.014:0.018:-0.158,m:17.563:-147.625:-148.313,grav:-8.891:3.406:1.352,steps:0,stab:On Table
753.94,q:0.468:0.462:-0.365:0.659,gq:0.467:0.463:-0.365:0.659,a:-9.172:2.523:1.367,la:-0.082:-0.059:-0.020,g:-0.012:0.014:-0.141,m:21.188:-146.250:-146.188,grav:-9.172:2.539:1.305,steps:0,stab:On Table
754.58,q:0.438:0.495:-0.398:0.636,gq:0.438:0.495:-0.399:0.636,a:-9.516:0.645:1.215,la:0.012:-0.004:0.043,g:-0.008:0.016:-0.131,m:24.375:-140.188:-141.000,grav:-9.523:0.680:1.172,steps:0,stab:On Table
