host_epoch,pico_epoch,temp,set_c,drive
1748042104.951,19.0,31.42,36.0,-0.2
1748042109.955,24.0,31.75,36.0,-0.2
1748042114.960,29.0,31.16,36.0,-0.2
1748042119.967,34.0,31.47,36.0,-0.2
1748042124.974,39.0,31.42,36.0,-0.2
1748042129.980,44.0,31.42,36.0,-0.2
1748042134.987,49.0,31.55,36.0,-0.2
1748042139.993,54.0,31.16,36.0,-0.2
1748042144.995,59.0,31.67,36.0,-0.2
1748042150.002,64.0,31.47,36.0,-0.2
1748042155.005,69.0,31.21,36.0,-0.2
1748042160.007,74.0,31.11,36.0,-0.2
1748042165.009,79.0,31.85,36.0,-0.2
1748042170.016,84.0,31.55,36.0,-0.2
1748042175.022,89.0,31.27,36.0,-0.2
1748042180.029,94.0,31.65,36.0,-0.2
1748042185.035,99.0,31.55,36.0,-0.2
1748042190.041,104.0,31.62,36.0,-0.2
1748042195.044,109.0,31.8,36.0,-0.2
1748042200.051,114.0,31.83,36.0,-0.2
1748042205.056,119.0,32.06,36.0,-0.2
1748042210.058,124.0,31.83,36.0,-0.2
1748042215.065,129.0,32.11,36.0,-0.2
1748042220.071,134.0,32.26,36.0,-0.2
1748042225.076,139.0,32.24,36.0,-0.2
1748042230.079,144.0,32.37,36.0,-0.2
1748042235.086,149.0,32.24,36.0,-0.2
1748042240.092,154.0,32.65,36.0,-0.2
1748042245.099,159.0,32.57,36.0,-0.2
1748042250.105,164.0,32.6,36.0,-0.2
1748042255.111,169.0,32.88,36.0,-0.2
1748042260.117,174.0,33.19,36.0,-0.2
1748042265.124,179.0,33.01,36.0,-0.2
1748042270.128,184.0,32.91,36.0,-0.2
1748042275.134,189.0,33.27,36.0,-0.2
1748042280.137,194.0,33.66,36.0,-0.2
1748042285.142,199.0,33.48,36.0,-0.2
1748042290.148,204.0,33.48,36.0,-0.2
1748042295.155,209.0,33.51,36.0,-0.2
1748042300.162,214.0,33.98,36.0,-0.2
1748042305.168,219.0,33.66,36.0,-0.2
1748042310.171,224.0,33.79,36.0,-0.2
1748042315.177,229.0,33.87,36.0,-0.2
1748042320.183,234.0,34.11,36.0,-0.2
1748042325.190,239.0,34.24,36.0,-0.2
1748042330.196,244.0,34.53,36.0,-0.2
1748042335.203,249.0,34.37,36.0,-0.2
1748042340.208,254.0,34.42,36.0,-0.2
1748042345.213,259.0,34.5,36.0,-0.2
1748042350.219,264.0,34.71,36.0,-0.2
1748042355.223,269.0,34.79,36.0,-0.2
1748042360.226,274.0,34.71,36.0,-0.2
1748042365.232,279.0,34.98,36.0,-0.2
1748042370.237,284.0,35.19,36.0,0.0
1748042375.242,289.0,34.98,36.0,-0.2
1748042380.246,294.0,35.3,36.0,0.0
1748042385.252,299.0,34.98,36.0,-0.2
1748042390.256,304.0,35.19,36.0,0.0
1748042395.261,309.0,35.59,36.0,0.0
1748042400.267,314.0,35.46,36.0,0.0
1748042405.271,319.0,35.67,36.0,0.0
1748042410.274,324.0,35.59,36.0,0.0
1748042415.280,329.0,35.91,36.0,0.0
1748042420.285,334.0,35.81,36.0,0.0
1748042425.289,339.0,35.78,36.0,0.0
1748042430.295,344.0,35.78,36.0,0.0
1748042435.300,349.0,35.57,36.0,0.0
1748042440.304,354.0,35.97,36.0,0.0
1748042445.308,359.0,35.78,36.0,0.0
1748042450.313,364.0,36.08,36.0,0.0
1748042455.315,369.0,36.05,36.0,0.0
1748042460.316,374.0,35.86,36.0,0.0
1748042465.323,379.0,36.16,36.0,0.0
1748042470.329,384.0,35.91,36.0,0.0
1748042475.336,389.0,36.13,36.0,0.0
1748042480.342,394.0,36.0,36.0,0.0
1748042485.346,399.0,35.89,36.0,0.0
1748042490.351,404.0,35.94,36.0,0.0
1748042495.356,409.0,36.02,36.0,0.0
1748042500.360,414.0,35.81,36.0,0.0
1748042505.365,419.0,35.81,36.0,0.0
1748042510.370,424.0,35.94,36.0,0.0
1748042515.375,429.0,35.78,36.0,0.0
1748042520.381,434.0,35.67,36.0,0.0
1748042525.386,439.0,35.73,36.0,0.0
1748042530.392,444.0,35.97,36.0,0.0
1748042535.399,449.0,35.59,36.0,0.0
1748042540.401,454.0,35.49,36.0,0.0
1748042545.407,459.0,35.59,36.0,0.0
1748042550.413,464.0,35.65,36.0,0.0
1748042555.417,469.0,35.41,36.0,0.0
1748042560.423,474.0,35.41,36.0,0.0
1748042565.428,479.0,35.51,36.0,0.0
1748042570.435,484.0,35.19,36.0,0.0
1748042575.441,489.0,35.14,36.0,0.0
1748042580.448,494.0,35.25,36.0,0.0
1748042585.452,499.0,35.62,36.0,0.0
1748042590.456,504.0,35.25,36.0,0.0
1748042595.462,509.0,35.22,36.0,0.0
1748042600.468,514.0,35.22,36.0,0.0
1748042605.475,519.0,35.06,36.0,0.0
1748042610.477,524.0,35.59,36.0,0.0
1748042615.483,529.0,35.03,36.0,0.0
1748042620.490,534.0,35.51,36.0,0.0
1748042625.496,539.0,35.19,36.0,0.0
1748042630.503,544.0,35.27,36.0,0.0
1748042635.507,549.0,34.87,36.0,-0.2
1748042640.512,554.0,34.85,36.0,-0.2
