host_epoch,pico_epoch,temp,set_c,drive
1747861648.717,125.0,23.75,32.0,-0.2
1747861653.724,130.0,23.63,32.0,-0.2
1747861658.730,130.0,23.63,32.0,-0.2
1747861663.732,135.0,23.89,32.0,-0.2
1747861668.739,140.0,24.2,32.0,-0.2
1747861673.745,140.0,24.2,32.0,-0.2
1747861678.752,145.0,23.72,32.0,-0.2
1747861683.758,145.0,23.72,32.0,-0.2
1747861688.765,150.0,25.1,32.0,-0.2
1747861693.772,155.0,25.73,32.0,-0.2
1747861698.779,155.0,25.73,32.0,-0.2
1747861703.781,160.0,25.58,32.0,-0.2
1747861708.788,165.0,25.68,32.0,-0.2
1747861713.793,165.0,25.68,32.0,-0.2
1747861718.795,170.0,26.39,32.0,-0.2
1747861723.802,170.0,26.39,32.0,-0.2
1747861728.807,175.0,26.8,32.0,-0.2
1747861733.810,180.0,27.12,32.0,-0.2
1747861738.816,180.0,27.12,32.0,-0.2
1747861743.820,185.0,27.24,32.0,-0.2
1747861748.826,185.0,27.24,32.0,-0.2
1747861753.833,190.0,27.56,32.0,-0.2
1747861758.837,195.0,27.84,32.0,-0.2
1747861763.843,195.0,27.84,32.0,-0.2
1747861768.850,200.0,26.66,32.0,-0.2
1747861773.857,205.0,27.56,32.0,-0.2
1747861778.861,205.0,27.56,32.0,-0.2
1747861783.866,210.0,28.58,32.0,-0.2
1747861788.872,210.0,28.58,32.0,-0.2
1747861793.879,215.0,28.38,32.0,-0.2
1747861798.885,220.0,28.95,32.0,-0.2
1747861803.891,220.0,28.95,32.0,-0.2
1747861808.895,225.0,28.83,32.0,-0.2
1747861813.900,230.0,27.12,32.0,-0.2
1747861818.906,230.0,27.12,32.0,-0.2
1747861823.911,235.0,29.9,32.0,0.0
1747861828.915,235.0,29.9,32.0,0.0
1747861833.921,240.0,29.5,32.0,0.0
1747861838.928,245.0,29.75,32.0,0.0
1747861843.934,245.0,29.75,32.0,0.0
1747861848.941,250.0,29.75,32.0,0.0
1747861853.944,250.0,29.75,32.0,0.0
1747861858.949,255.0,29.85,32.0,0.0
1747861863.956,260.0,29.35,32.0,0.0
1747861868.962,260.0,29.35,32.0,0.0
1747861873.969,265.0,29.55,32.0,0.0
1747861878.975,270.0,29.35,32.0,0.0
1747861883.981,270.0,29.35,32.0,0.0
1747861888.984,275.0,29.37,32.0,0.0
1747861893.991,275.0,29.37,32.0,0.0
1747861898.995,280.0,29.5,32.0,0.0
1747861903.998,285.0,29.75,32.0,0.0
1747861909.004,285.0,29.75,32.0,0.0
1747861914.010,290.0,29.55,32.0,0.0
1747861919.016,290.0,29.55,32.0,0.0
1747861924.022,295.0,29.42,32.0,0.0
1747861929.029,300.0,29.52,32.0,0.0
1747861934.035,300.0,29.52,32.0,0.0
1747861939.042,305.0,29.27,32.0,0.0
1747861944.044,310.0,29.62,32.0,0.0
1747861949.049,310.0,29.62,32.0,0.0
1747861954.054,315.0,29.35,32.0,0.0
1747861959.058,315.0,29.35,32.0,0.0
1747861964.067,320.0,29.22,32.0,0.0
1747861969.072,325.0,28.63,32.0,-0.2
1747861974.076,325.0,28.63,32.0,-0.2
1747861979.081,330.0,29.03,32.0,0.0
1747861984.086,335.0,28.78,32.0,-0.2
1747861989.091,335.0,28.78,32.0,-0.2
1747861994.098,340.0,28.75,32.0,-0.2
1747861999.104,340.0,28.75,32.0,-0.2
1747862004.106,345.0,30.25,32.0,0.0
1747862009.110,350.0,28.75,32.0,-0.2
1747862014.112,350.0,28.75,32.0,-0.2
1747862019.119,355.0,29.22,32.0,0.0
1747862024.120,355.0,29.22,32.0,0.0
1747862029.127,360.0,29.08,32.0,0.0
1747862034.132,365.0,29.0,32.0,0.0
1747862039.138,365.0,29.0,32.0,0.0
1747862044.145,370.0,28.85,32.0,-0.2
1747862049.152,375.0,30.28,32.0,0.0
1747862054.158,375.0,30.28,32.0,0.0
1747862059.160,380.0,29.08,32.0,0.0
1747862064.166,380.0,29.08,32.0,0.0
1747862069.173,385.0,29.22,32.0,0.0
1747862074.180,390.0,29.05,32.0,0.0
1747862079.186,390.0,29.05,32.0,0.0
1747862084.193,395.0,29.25,32.0,0.0
1747862089.200,400.0,29.22,32.0,0.0
1747862094.206,400.0,29.22,32.0,0.0
1747862099.213,405.0,28.9,32.0,-0.2
1747862104.217,405.0,28.9,32.0,-0.2
1747862109.224,410.0,29.25,32.0,0.0
1747862114.230,415.0,29.12,32.0,0.0
