host_epoch,pico_epoch,temp,set_c,drive
1748034534.675,118.0,19.49,32.0,-0.2
1748034539.682,123.0,18.3,32.0,-0.2
1748034544.688,128.0,19.49,32.0,-0.2
1748034549.694,133.0,19.59,32.0,-0.2
1748034554.699,138.0,20.09,32.0,-0.2
1748034559.703,143.0,18.94,32.0,-0.2
1748034564.706,148.0,20.18,32.0,-0.2
1748034569.711,153.0,20.8,32.0,-0.2
1748034574.716,158.0,21.11,32.0,-0.2
1748034579.722,163.0,19.61,32.0,-0.2
1748034584.727,168.0,21.66,32.0,-0.2
1748034589.734,173.0,21.56,32.0,-0.2
1748034594.740,178.0,22.09,32.0,-0.2
1748034599.747,183.0,20.49,32.0,-0.2
1748034604.753,188.0,22.88,32.0,-0.2
1748034609.759,193.0,22.93,32.0,-0.2
1748034614.762,198.0,23.6,32.0,-0.2
1748034619.765,203.0,21.54,32.0,-0.2
1748034624.769,208.0,23.89,32.0,-0.2
1748034629.773,213.0,24.16,32.0,-0.2
1748034634.776,218.0,24.32,32.0,-0.2
1748034639.782,223.0,22.59,32.0,-0.2
1748034644.789,228.0,24.86,32.0,-0.2
1748034649.795,233.0,24.93,32.0,-0.2
1748034654.797,238.0,25.27,32.0,-0.2
1748034659.803,243.0,23.55,32.0,-0.2
1748034664.810,248.0,26.02,32.0,-0.2
1748034669.817,253.0,26.12,32.0,-0.2
1748034674.823,258.0,26.12,32.0,-0.2
1748034679.830,263.0,24.2,32.0,-0.2
1748034684.836,268.0,26.78,32.0,-0.2
1748034689.838,273.0,26.83,32.0,-0.2
1748034694.845,279.0,27.29,32.0,-0.2
1748034699.847,284.0,27.1,32.0,-0.2
1748034704.853,289.0,27.64,32.0,-0.2
1748034709.859,294.0,27.69,32.0,-0.2
1748034714.865,299.0,28.28,32.0,-0.2
1748034719.872,304.0,27.84,32.0,-0.2
1748034724.878,309.0,28.78,32.0,-0.2
1748034729.885,314.0,28.28,32.0,-0.2
1748034734.889,319.0,29.22,32.0,-0.2
1748034739.897,324.0,28.7,32.0,-0.2
1748034744.903,329.0,29.47,32.0,-0.2
1748034749.907,334.0,29.27,32.0,-0.2
1748034754.914,339.0,30.0,32.0,-0.2
1748034759.920,344.0,29.35,32.0,-0.2
1748034764.926,349.0,30.03,32.0,-0.2
1748034769.932,354.0,29.88,32.0,-0.2
1748034774.939,359.0,30.58,32.0,-0.2
1748034779.941,364.0,30.91,32.0,-0.2
1748034784.946,369.0,30.81,32.0,-0.2
1748034789.949,374.0,31.19,32.0,0.0
1748034794.955,379.0,31.29,32.0,0.0
1748034799.962,384.0,31.57,32.0,0.0
1748034804.967,389.0,31.39,32.0,0.0
1748034809.970,394.0,31.49,32.0,0.0
1748034814.976,399.0,31.39,32.0,0.0
1748034819.982,404.0,31.6,32.0,0.0
1748034824.989,409.0,31.34,32.0,0.0
1748034829.996,414.0,31.09,32.0,0.0
1748034835.002,419.0,31.27,32.0,0.0
1748034840.008,424.0,30.99,32.0,-0.2
1748034845.014,429.0,30.73,32.0,-0.2
1748034850.018,434.0,31.01,32.0,0.0
1748034855.025,439.0,30.96,32.0,-0.2
1748034860.031,444.0,29.95,32.0,-0.2
1748034865.038,449.0,30.68,32.0,-0.2
1748034870.044,454.0,30.86,32.0,-0.2
1748034875.046,459.0,30.88,32.0,-0.2
1748034880.053,464.0,29.83,32.0,-0.2
1748034885.059,469.0,31.06,32.0,0.0
1748034890.066,474.0,30.91,32.0,-0.2
1748034895.072,479.0,31.19,32.0,0.0
1748034900.079,484.0,31.39,32.0,0.0
1748034905.081,489.0,31.49,32.0,0.0
1748034910.087,494.0,31.42,32.0,0.0
1748034915.096,499.0,31.47,32.0,0.0
1748034920.103,504.0,31.14,32.0,0.0
1748034925.110,509.0,31.42,32.0,0.0
1748034930.113,514.0,31.27,32.0,0.0
1748034935.119,519.0,31.09,32.0,0.0
1748034940.122,524.0,31.14,32.0,0.0
1748034945.129,529.0,30.94,32.0,-0.2
1748034950.135,534.0,30.96,32.0,-0.2
1748034955.139,539.0,30.63,32.0,-0.2
1748034960.145,544.0,29.27,32.0,-0.2
1748034965.150,549.0,30.81,32.0,-0.2
1748034970.157,554.0,30.68,32.0,-0.2
1748034975.163,559.0,30.78,32.0,-0.2
1748034980.170,564.0,31.09,32.0,0.0
1748034985.176,569.0,31.06,32.0,0.0
1748034990.183,574.0,31.14,32.0,0.0
1748034995.185,579.0,31.19,32.0,0.0
1748035000.191,584.0,31.34,32.0,0.0
1748035005.196,589.0,31.09,32.0,0.0
1748035010.199,594.0,31.11,32.0,0.0
1748035015.205,599.0,31.06,32.0,0.0
1748035020.212,604.0,30.99,32.0,-0.2
1748035025.218,609.0,31.11,32.0,0.0
1748035030.224,614.0,31.21,32.0,0.0
1748035035.230,619.0,31.14,32.0,0.0
1748035040.233,624.0,28.75,32.0,-0.2
1748035045.236,629.0,30.91,32.0,-0.2
1748035050.243,634.0,30.81,32.0,-0.2
1748035055.246,639.0,30.99,32.0,-0.2
1748035060.252,644.0,31.06,32.0,0.0
1748035065.256,649.0,30.91,32.0,-0.2
