host_epoch,pico_epoch,temp,set_c,drive
1747871766.857,5.0,21.3,32.0,-0.2
1747871771.862,10.0,21.09,32.0,-0.2
1747871776.867,15.0,21.61,32.0,-0.2
1747871781.874,20.0,21.42,32.0,-0.2
1747871786.875,25.0,21.04,32.0,-0.2
1747871791.882,30.0,21.28,32.0,-0.2
1747871796.887,35.0,21.56,32.0,-0.2
1747871801.890,40.0,21.23,32.0,-0.2
1747871806.897,45.0,20.94,32.0,-0.2
1747871811.902,50.0,20.09,32.0,-0.2
1747871816.908,55.0,22.09,32.0,-0.2
1747871821.911,60.0,22.93,32.0,-0.2
1747871826.916,65.0,22.88,32.0,-0.2
1747871831.918,70.0,23.02,32.0,-0.2
1747871836.925,75.0,23.48,32.0,-0.2
1747871841.930,80.0,23.84,32.0,-0.2
1747871846.935,85.0,23.99,32.0,-0.2
1747871851.938,90.0,24.4,32.0,-0.2
1747871856.942,95.0,24.47,32.0,-0.2
1747871861.947,100.0,24.9,32.0,-0.2
1747871866.953,105.0,25.17,32.0,-0.2
1747871871.960,110.0,26.09,32.0,-0.2
1747871876.962,115.0,25.49,32.0,-0.2
1747871881.968,120.0,26.58,32.0,-0.2
1747871886.975,125.0,24.76,32.0,-0.2
1747871891.981,130.0,23.02,32.0,-0.2
1747871896.984,135.0,26.46,32.0,-0.2
1747871901.988,140.0,26.78,32.0,-0.2
1747871906.991,145.0,27.07,32.0,-0.2
1747871911.996,150.0,27.15,32.0,-0.2
1747871917.002,155.0,26.22,32.0,-0.2
1747871922.008,160.0,27.59,32.0,-0.2
1747871927.012,165.0,30.0,32.0,-0.2
1747871932.016,170.0,26.48,32.0,-0.2
1747871937.020,175.0,25.78,32.0,-0.2
1747871942.023,180.0,28.6,32.0,-0.2
1747871947.030,185.0,28.38,32.0,-0.2
1747871952.037,190.0,28.73,32.0,-0.2
1747871957.039,195.0,30.99,32.0,-0.2
1747871962.046,200.0,29.42,32.0,-0.2
1747871967.052,205.0,29.47,32.0,-0.2
1747871972.058,210.0,29.6,32.0,-0.2
1747871977.063,215.0,29.93,32.0,-0.2
1747871982.068,220.0,29.9,32.0,-0.2
1747871987.072,225.0,31.21,32.0,0.0
1747871992.076,230.0,30.63,32.0,-0.2
1747871997.079,235.0,30.28,32.0,-0.2
1747872002.086,240.0,30.23,32.0,-0.2
1747872007.093,245.0,31.14,32.0,0.0
1747872012.099,250.0,30.61,32.0,-0.2
1747872017.103,255.0,31.14,32.0,0.0
1747872022.108,260.0,30.99,32.0,-0.2
1747872027.114,265.0,30.23,32.0,-0.2
1747872032.121,270.0,30.4,32.0,-0.2
1747872037.124,275.0,31.11,32.0,0.0
1747872042.127,280.0,31.47,32.0,0.0
1747872047.134,285.0,31.21,32.0,0.0
1747872052.141,290.0,31.67,32.0,0.0
1747872057.147,295.0,31.34,32.0,0.0
1747872062.152,300.0,31.65,32.0,0.0
1747872067.155,305.0,31.29,32.0,0.0
1747872072.163,310.0,31.57,32.0,0.0
1747872077.170,315.0,31.44,32.0,0.0
1747872082.174,320.0,31.24,32.0,0.0
1747872087.177,325.0,31.32,32.0,0.0
1747872092.184,330.0,30.94,32.0,-0.2
1747872097.187,335.0,30.68,32.0,-0.2
1747872102.192,340.0,29.57,32.0,-0.2
1747872107.199,345.0,32.83,32.0,0.0
1747872112.204,350.0,30.91,32.0,-0.2
1747872117.209,355.0,30.71,32.0,-0.2
1747872122.214,360.0,30.91,32.0,-0.2
1747872127.220,365.0,30.88,32.0,-0.2
1747872132.227,370.0,31.16,32.0,0.0
1747872137.234,375.0,31.09,32.0,0.0
1747872142.240,380.0,31.14,32.0,0.0
1747872147.244,385.0,31.37,32.0,0.0
1747872152.248,390.0,31.52,32.0,0.0
1747872157.253,395.0,31.21,32.0,0.0
1747872162.260,400.0,31.11,32.0,0.0
1747872167.264,405.0,31.06,32.0,0.0
1747872172.269,410.0,31.29,32.0,0.0
1747872177.276,415.0,31.11,32.0,0.0
1747872182.280,420.0,30.99,32.0,-0.2
1747872187.287,425.0,30.83,32.0,-0.2
1747872192.294,430.0,31.01,32.0,0.0
1747872197.300,435.0,30.83,32.0,-0.2
1747872202.306,440.0,30.83,32.0,-0.2
1747872207.310,445.0,30.96,32.0,-0.2
1747872212.316,450.0,30.83,32.0,-0.2
1747872217.322,455.0,30.76,32.0,-0.2
1747872222.325,460.0,32.68,32.0,0.0
1747872227.331,465.0,30.99,32.0,-0.2
1747872232.335,470.0,31.06,32.0,0.0
1747872237.342,475.0,31.32,32.0,0.0
1747872242.345,480.0,31.6,32.0,0.0
1747872247.352,485.0,31.57,32.0,0.0
1747872252.359,490.0,31.34,32.0,0.0
1747872257.365,495.0,31.49,32.0,0.0
1747872262.372,500.0,31.52,32.0,0.0
1747872267.378,505.0,31.32,32.0,0.0
1747872272.382,510.0,31.42,32.0,0.0
1747872277.388,515.0,31.29,32.0,0.0
1747872282.391,520.0,31.04,32.0,0.0
1747872287.395,525.0,31.16,32.0,0.0
1747872292.401,530.0,31.06,32.0,0.0
1747872297.404,535.0,31.06,32.0,0.0
1747872302.410,540.0,30.78,32.0,-0.2
1747872307.414,545.0,30.78,32.0,-0.2
1747872312.420,550.0,30.48,32.0,-0.2
1747872317.424,555.0,30.61,32.0,-0.2
1747872322.430,560.0,30.58,32.0,-0.2
1747872327.435,565.0,31.75,32.0,0.0
1747872332.437,570.0,30.68,32.0,-0.2
1747872337.444,575.0,30.99,32.0,-0.2
1747872342.450,580.0,30.81,32.0,-0.2
1747872347.455,585.0,31.04,32.0,0.0
1747872352.458,590.0,31.21,32.0,0.0
1747872357.465,595.0,31.44,32.0,0.0
1747872362.468,600.0,31.37,32.0,0.0
1747872367.474,605.0,31.47,32.0,0.0
1747872372.479,610.0,31.34,32.0,0.0
